GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
54001,0,0,2.8570272155650842e-5,0,0,0
54003,6.240878164979909e-5,1.4192275050075076e-5,7.346641411453074e-5,5.8310737922388405e-5,1.0301285491994817e-4,2.0773531750745318e-4
54005,0,7.096137525037538e-6,6.802445751345439e-7,0,2.7108646031565306e-6,0
54007,0,1.4192275050075077e-6,1.7006114378363596e-6,0,0,0
54009,2.2944405018308487e-7,3.0749929275162666e-6,5.441956601076351e-6,2.6504880873812914e-6,0,4.687361010424584e-5
54011,7.801097706224886e-5,4.5651818077741495e-5,4.387577509617808e-5,1.7228172567978392e-5,1.0707915182468296e-4,3.355724359735782e-5
54013,0,4.730758350025026e-7,0,0,0,0
54021,0,0,4.081467450807263e-6,3.9757321310719365e-6,0,0
54023,0,0,0,3.843207726702872e-5,0,0
54025,5.965545304760207e-6,1.5374964637581333e-5,1.3604891502690877e-5,0,0,6.87124511755422e-5
54027,0,0,6.802445751345439e-7,0,0,0
54029,3.671104802929358e-6,9.461516700050052e-7,1.394501379025815e-5,1.3252440436906457e-5,1.016574226183699e-5,0
54033,1.6978859713548282e-5,3.5953763460190195e-5,2.5849293855112667e-5,3.710683322333808e-5,4.744013055523929e-5,1.8642913109643234e-5
54035,0,7.5692133600400414e-6,4.761712025941807e-6,1.0601952349525166e-5,6.099445357102194e-6,0
54037,1.3996087061168178e-5,2.223456424511762e-5,4.4556019671312625e-5,5.8310737922388405e-5,3.3885807539456635e-5,6.391855923306252e-6
54039,2.3311515498601425e-4,3.122300511016517e-5,6.394299006264712e-5,7.81893985777481e-5,1.267329201975678e-4,3.515520757818438e-5
54041,0,0,2.0067214966469043e-5,0,2.5753213729987043e-5,0
54043,0,0,1.7006114378363598e-5,0,0,0
54045,0,0,0,1.391506245875178e-4,0,2.1306186411020837e-6
54047,0,0,6.462323463778167e-6,0,0,0
54049,1.1472202509154245e-6,2.223456424511762e-5,4.421589738374535e-6,6.891269027191357e-5,4.744013055523929e-6,0
54051,1.3766643010985094e-6,1.655765422508759e-6,4.081467450807263e-6,1.855341661166904e-5,0,1.3316366506888023e-5
54053,0,3.7846066800200207e-6,1.1564157777287246e-5,0,0,5.85920126303073e-6
54055,1.5602195412449772e-5,5.9134479375312825e-6,1.6665992090796325e-5,0,8.810309960258725e-6,2.6632733013776048e-6
54057,0,0,0,2.9155368961194203e-5,0,0
54059,0,2.365379175012513e-7,9.863546339450887e-6,0,0,0
54061,1.7965469129335547e-4,2.9023202477403533e-4,1.768635895349814e-4,7.288842240298551e-5,7.86150734915394e-5,2.4289052508563754e-4
54065,0,0,1.93869703913345e-5,0,1.6265187618939185e-5,0
54067,1.3766643010985094e-6,3.548068762518769e-6,1.1904280064854518e-5,2.6504880873812914e-6,0,0
54069,9.40720605750648e-6,1.5374964637581333e-5,3.231161731889083e-5,1.9878660655359685e-5,4.066296904734796e-6,0
54071,2.294440501830849e-6,0,0,0,0,0
54075,2.5238845520139337e-6,0,9.523424051883614e-6,0,0,0
54077,0,1.3719199215072575e-5,8.84317947674907e-6,0,0,0
54079,2.202662881757615e-5,0,5.135846542265806e-5,1.3782538054382714e-4,3.185265908708924e-5,0
54081,3.4646051577645814e-5,8.515365030045045e-6,6.19022563372435e-5,0,1.0843458412626122e-5,5.273281136727658e-5
54083,0,1.84499575650976e-5,3.4012228756727193e-6,0,1.1521174563415255e-5,0
54085,1.3766643010985094e-6,1.1826895875062565e-5,0,0,0,0
54087,0,0,2.5169049279978124e-5,0,0,0
54091,0,3.0749929275162666e-6,0,0,0,0
54093,0,0,3.0611005881054474e-6,0,0,5.326546602755209e-7
54097,1.3766643010985094e-6,0,0,8.879135092727325e-5,0,5.3265466027552095e-6
54099,0,4.730758350025026e-7,6.802445751345439e-6,2.6504880873812914e-6,0,0
54103,0,0,3.7413451632399912e-6,0,0,0
54105,0,0,0,0,6.099445357102194e-6,0
54107,2.019107641611147e-5,3.5953763460190195e-5,4.897760940968716e-5,7.951464262143873e-6,1.558747146815005e-5,2.9828660975429175e-5
12001,0.0012520761818490941,8.740076051671235e-4,9.717293755796959e-4,3.458886954032585e-4,0.0010111524969773859,7.915248251694242e-4
12003,1.927330021537913e-5,3.548068762518769e-6,2.7209783005381754e-6,1.3252440436906457e-5,7.454877658680459e-6,2.6632733013776048e-6
12005,8.053486161426279e-5,5.038257642776652e-5,3.173340943002647e-4,2.120390469905033e-5,2.595652857522378e-4,5.907140182455527e-4
12007,6.8833215054925465e-6,9.934592535052554e-6,1.0883913202152702e-5,0,0,4.2612372822041674e-6
12009,6.518505465701441e-4,6.828849678261125e-4,0.0012036927757005753,0.0010575447468651352,5.408174883297279e-4,0.001017370401126245
12011,0.0062133448789579385,0.003643866619106776,0.002649212497861481,0.001816909583899875,0.001802724961099093,0.0037632051748465556
12013,0,0,3.0611005881054474e-6,0,1.3554323015782653e-6,1.0653093205510419e-5
12015,7.915819731316428e-5,1.1353820040060061e-4,2.9760700162136295e-4,2.0408758272835942e-4,6.709389892812413e-5,1.4328410361411512e-4
12017,2.776273007215327e-5,4.423259057273399e-5,4.363768949488099e-4,4.3733053441791306e-5,9.216939650732204e-5,8.14961630221547e-5
12019,1.0783870358604989e-4,8.49171123829492e-5,0.0013387213238647824,3.6974308818969016e-4,1.3351008170545914e-4,2.0880062682800422e-4
12021,3.494432884288383e-4,2.2352833203868246e-4,3.442037550180792e-4,2.5974783256336656e-4,2.920956609901162e-4,4.682034463821829e-4
12023,1.9732188315745298e-5,5.2038341850275284e-6,9.82953411069416e-5,7.951464262143873e-6,3.32080913886675e-5,8.415943632353231e-5
12027,0,1.1826895875062565e-6,1.1224035489719975e-5,0,1.0843458412626122e-5,0
12029,7.112765555675631e-6,0,3.0611005881054474e-6,0,0,0
12031,0.0027638830285054406,9.170575061523512e-4,0.005250807875463544,0.0014749966206276887,9.230493973747988e-4,0.002573787318451317
12033,1.1793424179410562e-4,4.3049900985227735e-4,0.001194509473936259,6.109375041413877e-4,2.7515275722038787e-4,0.0010067173079207346
12035,1.062325952347683e-4,1.2110741376064066e-4,2.6869660717814486e-4,2.067380708157407e-4,8.403680269785245e-5,2.0667000818690214e-4
12037,0,0,0,9.27670830583452e-6,0,0
12039,0,0,5.782078888643623e-6,0,0,0
12041,0,1.655765422508759e-6,1.3604891502690877e-5,0,0,0
12043,1.1472202509154245e-6,0,1.8026481241065413e-5,0,0,0
12045,1.1472202509154244e-5,0,2.3808560129709035e-6,0,0,0
12047,0,0,1.2584524639989062e-5,0,1.1521174563415255e-5,2.1306186411020837e-6
12049,2.2944405018308487e-7,0,2.2107948691872676e-5,0,0,2.1306186411020837e-6
12051,4.198826118350453e-5,1.3246123380070071e-5,2.9250516730785388e-5,9.27670830583452e-6,0,7.457165243857294e-6
12053,1.4661474806699123e-4,6.481138939534285e-5,2.8434223240623936e-4,8.083988666512938e-5,5.9639021269443674e-5,1.3902286633191098e-4
12055,7.411042820913641e-5,2.3890329667626378e-5,2.5135037051221397e-4,2.6504880873812913e-5,8.132593809469592e-6,5.1667502046725534e-5
12057,0.006277589213009202,0.0019464705231177968,0.0022805199381385585,0.0015492102870743648,0.001444890833482431,0.004271357720749403
12059,0,2.365379175012513e-7,0,0,0,6.391855923306251e-5
12061,1.1793424179410562e-4,9.08305603204805e-5,8.503057189181799e-5,2.557721004322946e-4,2.304234912683051e-5,3.7978277277644646e-4
12063,3.716993612965975e-5,0,1.0883913202152702e-5,0,3.3885807539456636e-6,0
12065,9.177762007323395e-7,0,2.3808560129709035e-6,1.855341661166904e-5,0,0
12067,0,0,6.802445751345439e-7,0,0,0
12069,7.775858860704746e-4,2.4883788921131636e-4,2.6971697404084665e-4,4.466072427237476e-4,1.5790786313386792e-4,8.447902911969762e-4
12071,6.348716868565959e-4,6.589946381584861e-4,9.329554347970269e-4,0.00036841784414599947,3.2259288777562717e-4,9.497232592712539e-4
12073,7.819453230239532e-4,5.941832487631432e-4,4.1733004684504265e-4,3.4323820731587724e-4,3.1581572626773584e-4,5.273281136727657e-4
12075,1.8126079964463706e-5,2.0578798822608862e-5,2.278819326700722e-5,5.566024983500712e-5,4.744013055523929e-6,0
12077,0,7.096137525037539e-7,0,0,0,2.6632733013776048e-6
12079,2.2944405018308487e-7,0,0,0,7.454877658680459e-6,2.1306186411020837e-6
12081,4.797675089328305e-4,3.422703666243106e-4,4.904563386720061e-4,2.7697600513134496e-4,1.8095021226069842e-4,0.0015249902923688164
12083,4.8297972563539365e-4,2.2021680119366495e-4,2.6257440600193396e-4,4.63835415291726e-4,2.9277337714090534e-4,4.479625692917131e-4
12085,1.5074474097028677e-4,1.2158048959564316e-4,2.486293922116758e-4,1.3252440436906457e-5,1.762061992051745e-5,8.682270962490992e-5
12086,0.002549582285634439,0.0027977704882048,0.0020145443092609515,0.0013809042935256526,0.0013805077991574633,0.0010131091638440409
12087,3.923493258130752e-5,3.619030137769145e-5,4.591650882158171e-5,7.951464262143873e-6,3.795210444419143e-5,7.563696175912398e-5
12089,4.70360302875324e-5,4.588835599524275e-5,1.4149087162798512e-4,3.180585704857549e-5,2.846407833314357e-5,1.9175567769918756e-5
12091,2.4321069319406996e-4,1.447612055107658e-4,9.094869969548851e-4,3.127575943109924e-4,4.0730740662426874e-4,2.7857838732409747e-4
12093,0,7.096137525037538e-6,6.496335692534894e-5,0,1.2876606864993521e-5,3.941644486038855e-5
12095,0.0058437105141129885,0.0033023058662349693,0.0033168725483560357,0.0016128220011715157,0.0016217747488383946,0.0077703661840993
12097,6.851199338466915e-4,2.564071025713564e-4,0.0013002875053696806,1.4312635671858974e-4,1.1114544872941777e-4,2.7112122208024014e-4
12099,0.00301971314445958,0.001788463194226961,0.0015856501046386218,0.0011874186631468185,0.0010531708983263122,0.003576243389089848
12101,0.0012793800238208813,7.032272287312201e-4,0.0010615216594974557,1.8818465420407168e-4,3.754547475371795e-4,0.0011776994538691768
12103,0.001348901571026356,6.831215057436137e-4,0.0020077418635096062,7.421366644667616e-4,0.0010036976193187055,0.005547598286769551
12105,9.776610978301248e-4,3.6521454462193196e-4,0.0010009798923104813,5.353985936510208e-4,3.273369008311511e-4,4.895096327932037e-4
12107,4.5888810036616974e-7,2.7201860512643898e-5,1.5305502940527238e-5,0,8.810309960258725e-6,7.989819904132813e-6
12109,7.362859570375194e-4,2.791147426514765e-4,4.3433616122340627e-4,8.614086283989197e-5,3.0632770015668795e-4,2.92427408491261e-4
12111,3.1479723685119243e-4,1.762207485384322e-4,8.111916558479436e-4,2.464953921264601e-4,2.0195941293516155e-4,4.3571151210537615e-4
12113,4.520047788606772e-5,8.609980197045547e-5,5.914726580794859e-4,4.6118492720434467e-4,2.920956609901162e-4,2.3969459712398444e-4
12115,2.489467944486471e-4,4.383047611298186e-4,5.309308908925114e-4,2.849274693934888e-4,2.636315826569726e-4,7.233450286541574e-4
12117,0.00197918437687929,8.508268892520009e-4,8.543871863689872e-4,5.49976278131618e-4,0.0010280954007471142,0.0021902759630529423
12119,3.212216702563188e-6,1.471265846857783e-4,1.418309939155524e-4,3.975732131071937e-5,8.810309960258725e-5,4.687361010424584e-5
12121,2.73038419717871e-5,2.2707640080120123e-5,1.0203668627018158e-5,0,0,0
12123,5.965545304760207e-6,0,3.0611005881054474e-6,0,1.1521174563415255e-5,0
12125,0,0,1.3604891502690877e-6,0,0,1.597963980826563e-6
12127,4.2584815713980555e-4,3.2476656072921804e-4,7.816010168295909e-4,4.916655402092295e-4,5.401397721789388e-4,0.0013545408010806497
12129,0,5.676910020030031e-6,0,3.180585704857549e-5,0,0
12131,1.6978859713548282e-5,5.676910020030031e-6,8.196947130371254e-5,4.240780939810066e-5,1.5384156622913313e-4,2.237149573157188e-5
12133,0,3.311530845017518e-6,4.48961419588799e-5,0,1.4909755317360919e-5,1.8642913109643234e-5
17001,3.694049207947667e-5,1.3955737132573826e-5,4.387577509617808e-5,0,5.2184143610763215e-5,3.728582621928647e-6
17003,0,2.6019170925137642e-6,3.4012228756727193e-7,1.3252440436906457e-6,0,0
17005,4.588881003661698e-6,9.461516700050052e-7,1.768635895349814e-5,0,0,0
17007,6.653877455309462e-6,1.9396109235102604e-5,5.7140544311301684e-5,0,3.52412398410349e-5,1.0653093205510419e-5
17011,1.5602195412449772e-5,7.33267544253879e-6,4.387577509617808e-5,2.6504880873812914e-6,1.3554323015782654e-5,4.793891942479689e-6
17015,8.259985806591055e-6,9.461516700050052e-7,8.162934901614526e-6,5.300976174762583e-6,6.777161507891327e-7,1.0653093205510419e-6
17017,0,0,1.768635895349814e-5,0,0,0
17019,0.0011827840786938027,0.0021915238056490934,3.9454185357803545e-4,5.817821351801934e-4,0.0016888686477665186,7.217470646733309e-4
17021,2.294440501830849e-5,8.988440865047549e-6,3.4012228756727193e-7,1.3252440436906457e-6,1.2876606864993521e-5,2.7165387674051567e-5
17023,4.818325053844783e-6,0,0,0,0,1.0653093205510419e-6
17025,0,0,5.101834313509079e-6,0,0,1.0120438545234898e-5
17027,0,3.0749929275162666e-6,2.108758182917086e-5,1.3252440436906457e-6,2.507549757919791e-5,1.0653093205510419e-6
17029,3.005717057398412e-5,4.068452181021522e-5,4.183504137077445e-5,1.3252440436906457e-5,1.6942903769728318e-5,1.0653093205510419e-5
17031,0.0283374874178619,0.019114156037441113,0.025389448522321716,0.015264160895228857,0.024595674544439203,0.009100404870807275
17033,1.3307754910618924e-5,2.365379175012513e-7,1.0203668627018158e-6,0,0,2.1306186411020837e-6
17035,0,0,2.7209783005381754e-6,0,0,0
17037,1.259647835505136e-4,1.7929574146594848e-4,1.5407539626797418e-4,4.240780939810066e-5,7.522649273759373e-5,1.757760378909219e-5
17039,2.294440501830849e-6,0,0,1.192719639321581e-5,1.3554323015782653e-6,0
17041,4.818325053844783e-6,0,1.1564157777287246e-5,3.710683322333808e-5,4.744013055523929e-6,0
17043,0.013088635842694077,0.003360494193940277,0.00544705843538986,0.0017943804351571342,0.0029995716833927013,0.001820080974161455
17045,0,2.1288412575112614e-6,1.1904280064854518e-5,2.9155368961194203e-5,0,0
17047,0,7.096137525037539e-7,0,0,4.744013055523929e-6,8.522474564408335e-6
17049,1.6978859713548282e-5,1.0407668370055057e-5,1.8366603528632686e-5,0,0,4.2612372822041674e-6
17051,0,1.632111630758634e-5,9.523424051883614e-6,0,0,0
17053,1.4225531111351262e-5,0,0,0,0,0
17055,2.294440501830849e-6,0,3.0270883593487203e-5,0,0,0
17057,9.177762007323395e-7,1.655765422508759e-5,3.4012228756727193e-7,3.9757321310719365e-6,0,5.3265466027552095e-6
17059,0,0,2.0407337254036316e-6,0,0,0
17061,4.5888810036616974e-7,2.365379175012513e-7,0,0,0,0
17063,2.592717767068859e-5,8.2788271125437955e-06,3.129125045618902e-5,2.120390469905033e-5,0,1.2783711846612503e-5
17065,0,0,8.503057189181799e-6,0,0,0
17067,2.7533286021970188e-6,0,1.0203668627018158e-6,2.385439278643162e-5,6.777161507891327e-7,3.195927961653126e-6
17073,5.736101254577122e-6,1.821341964759635e-5,1.8026481241065413e-5,1.4577684480597101e-5,1.2876606864993521e-5,2.343680505212292e-5
17075,6.883321505492547e-7,0,1.9046848103767228e-5,2.6504880873812914e-6,6.777161507891327e-6,0
17077,4.3364925484603044e-5,9.532478075300426e-5,6.836457980102166e-5,1.311991603253739e-4,1.599410115862353e-4,8.14961630221547e-5
17079,0,0,3.4012228756727193e-7,1.192719639321581e-5,0,0
17081,5.5066572043940375e-6,1.1826895875062565e-5,4.591650882158171e-5,9.27670830583452e-6,2.5753213729987043e-5,3.0361315635704693e-5
17083,0,1.655765422508759e-6,1.2584524639989062e-5,5.168451770393518e-5,2.3720065277619644e-5,0
17085,4.359436953478612e-6,4.021144597521272e-6,7.822812614047255e-6,0,6.777161507891327e-7,3.355724359735782e-5
17087,1.606108351281594e-6,0,9.183301764316343e-6,0,0,3.728582621928647e-6
17089,0.0013876776155072974,2.223456424511762e-4,0.0017795198085519667,3.4986442753433044e-4,7.725964118996113e-4,4.0055630452719176e-4
17091,6.080267329851749e-5,3.477107387268394e-5,1.3162732528853425e-4,0,1.2605520404677869e-4,8.522474564408335e-6
17093,3.707815850958652e-4,1.7243614185841218e-4,2.255010766571013e-4,3.5781589179647434e-5,1.8162792841148757e-4,5.113484738645001e-5
17095,3.0516058674350288e-5,2.365379175012513e-5,2.993076130591993e-5,1.5902928524287746e-5,6.777161507891327e-7,4.154706350149063e-5
17097,0.00596875752146277,0.0021524950492613866,0.00375018834271674,0.0018116086077251126,0.004233692793979712,7.776758040022606e-4
