GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
54001965500,0,0,1,0,0,0
54001965600,0,0,1,0,0,0
54003971101,1,0,0,0,0,0
54003971104,0,0,1,0,0,0
54003971105,0,0,1,0,0,0
54003971203,0,0,1,0,0,0
54003971205,0,1,0,0,0,0
54003971206,0,0,0.22105263157894736,0,0,0.7789473684210526
54003971301,0,0,0,0,0,1
54003971401,0,0,0.15625,0.14583333333333334,0.4895833333333333,0.20833333333333334
54003971402,0,0,0.09090909090909091,0,0.9090909090909091,0
54003971600,0,0,0,0.9333333333333333,0.06666666666666667,0
54003971700,0,0,0,0,1,0
54003971901,0,0,1,0,0,0
54003971902,0,0.1339712918660287,0,0,0,0.8660287081339713
54003972001,0,0,0,0,1,0
54003972003,0,0,1,0,0,0
54003972101,0,0,0.5263157894736842,0,0.47368421052631576,0
54003972103,0,0.5151515151515151,0,0.48484848484848486,0,0
54003972105,0,0,0.6285714285714286,0,0,0.37142857142857144
54005958300,0,0,1,0,0,0
54005958400,0,1,0,0,0,0
54005958600,0,0,0,0,1,0
54005958800,0,1,0,0,0,0
54007968100,0,0.5454545454545454,0.45454545454545453,0,0,0
54009031103,0,0,0,0,0,1
54009031104,0,0.13,0,0,0,0.87
54009031200,0,0,1,0,0,0
54009031600,0.058823529411764705,0,0.8235294117647058,0.11764705882352941,0,0
54009031700,0,0,1,0,0,0
54011000102,0,0,0.9090909090909091,0,0,0.09090909090909091
54011000300,0.08552631578947369,0.4342105263157895,0,0,0.48026315789473684,0
54011000500,0.29545454545454547,0.5454545454545454,0.09090909090909091,0.06818181818181818,0,0
54011000600,0,0,0.9166666666666666,0,0,0.08333333333333333
54011001300,0,0.6428571428571429,0.35714285714285715,0,0,0
54011001400,1,0,0,0,0,0
54011001600,0,0,0,0,0,1
54011001900,0,0,0,0,1,0
54011002000,0.8263473053892215,0.17365269461077845,0,0,0,0
54011002100,0.8103448275862069,0.1896551724137931,0,0,0,0
54011010104,0,0,0.4166666666666667,0,0.5833333333333334,0
54011010202,0.4857142857142857,0.5142857142857142,0,0,0,0
54011010204,0.9347826086956522,0,0.06521739130434782,0,0,0
54011010402,0,0,0,0.1282051282051282,0.8717948717948718,0
54011010600,0,0,0,0,0,1
54011010702,1,0,0,0,0,0
