GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
00601,1,0,0,0,0,0
00602,0.625,0.375,0,0,0,0
00603,0,1,0,0,0,0
00612,1,0,0,0,0,0
00616,1,0,0,0,0,0
00617,1,0,0,0,0,0
00623,0,0.9077669902912622,0,0,0.09223300970873786,0
00624,1,0,0,0,0,0
00638,1,0,0,0,0,0
00641,1,0,0,0,0,0
00647,0,0,0,0,1,0
00650,1,0,0,0,0,0
00652,1,0,0,0,0,0
00656,1,0,0,0,0,0
00659,1,0,0,0,0,0
00662,0,0.5428571428571428,0.45714285714285713,0,0,0
00674,0.868421052631579,0,0,0,0.13157894736842105,0
00680,1,0,0,0,0,0
00683,0,1,0,0,0,0
00685,0,0,0,0,1,0
00688,1,0,0,0,0,0
00693,1,0,0,0,0,0
00716,1,0,0,0,0,0
00717,0,1,0,0,0,0
00718,1,0,0,0,0,0
00719,0,1,0,0,0,0
00725,0.8345864661654135,0.16541353383458646,0,0,0,0
00727,0.85546875,0.14453125,0,0,0,0
00728,0.4772727272727273,0.5227272727272727,0,0,0,0
00729,1,0,0,0,0,0
00735,0,1,0,0,0,0
00736,0,1,0,0,0,0
00738,0.6170212765957447,0,0.3829787234042553,0,0,0
00739,1,0,0,0,0,0
00745,0.6610169491525424,0,0,0,0.3389830508474576,0
00754,0,1,0,0,0,0
00757,0,0,0,0,0,1
00765,1,0,0,0,0,0
00767,0,0,1,0,0,0
00771,0.03125,0,0,0,0,0.96875
00772,1,0,0,0,0,0
00773,1,0,0,0,0,0
00775,0,1,0,0,0,0
00778,0.6136363636363636,0.38636363636363635,0,0,0,0
00791,0.08085106382978724,0.9191489361702128,0,0,0,0
00795,0,1,0,0,0,0
00901,0,1,0,0,0,0
00907,0,1,0,0,0,0
00909,0,0,1,0,0,0
00911,0.3308270676691729,0.6691729323308271,0,0,0,0
00912,0,1,0,0,0,0
00913,0,1,0,0,0,0
00915,1,0,0,0,0,0
00917,0.8615384615384616,0,0.13846153846153847,0,0,0
00918,0,0,0,0,1,0
00923,0,1,0,0,0,0
00924,1,0,0,0,0,0
00925,0,1,0,0,0,0
00926,0.3,0.6384615384615384,0.06153846153846154,0,0,0
00927,0,1,0,0,0,0
00949,1,0,0,0,0,0
00953,0.4188034188034188,0,0.2222222222222222,0,0.358974358974359,0
00956,0.2903225806451613,0.7096774193548387,0,0,0,0
00957,0.12121212121212122,0.8787878787878788,0,0,0,0
00959,0,0.7586206896551724,0.2413793103448276,0,0,0
00961,0.6060606060606061,0,0,0,0,0.3939393939393939
00965,0,1,0,0,0,0
00966,0,0,1,0,0,0
00968,0,1,0,0,0,0
00969,1,0,0,0,0,0
00976,0.9094827586206896,0,0,0,0.09051724137931035,0
00979,0,1,0,0,0,0
00982,0.7131782945736435,0,0,0,0,0.2868217054263566
00983,1,0,0,0,0,0
00985,0.26153846153846155,0.4153846153846154,0,0,0.3230769230769231,0
00987,0.6976744186046512,0.3023255813953488,0,0,0,0
01001,0.3682008368200837,0.29707112970711297,0.058577405857740586,0,0.27615062761506276,0
01002,0.27427317608337903,0.37794843664289635,0.03730115194733955,0.05979155238617663,0.1755348326933626,0.07515085024684585
01003,0.34726688102893893,0.39182361047312814,0.022508038585209004,0.005052824988516307,0.0799265043638034,0.15342214056040424
01007,0,0.7916666666666666,0.0673076923076923,0,0.14102564102564102,0
01010,0,0,0,0,1,0
01013,0.31,0.31,0.07,0,0,0.31
01020,0.14285714285714285,0.6651785714285714,0.19196428571428573,0,0,0
01022,0,0,0,0.8769230769230769,0,0.12307692307692308
01027,0.5521235521235521,0.444015444015444,0,0,0.003861003861003861,0
01028,0.16292134831460675,0.7303370786516854,0,0,0.06741573033707865,0.03932584269662921
01030,0.17647058823529413,0.8235294117647058,0,0,0,0
