GEOID,asian_indian,chinese,filipino,japanese,korean,vietnamese
00601,5.277213154210952e-6,0,0,0,0,0
00602,6.8833215054925465e-6,4.25773287078585e-6,0,0,0,0
00603,0,6.623140021222433e-6,0,0,0,0
00612,1.2802978000216137e-4,0,0,0,0,0
00616,3.372827537691348e-5,0,0,0,0,0
00617,8.259985806591056e-5,0,0,0,0,0
00623,0,4.4233113713164103e-5,0,0,1.2876606864993521e-5,0
00624,5.736101254577122e-6,0,0,0,0,0
00638,1.7667191864097535e-5,0,0,0,0,0
00641,4.359436953478612e-6,0,0,0,0,0
00647,0,0,0,0,2.7108646031565306e-6,0
00650,4.267659333405379e-5,0,0,0,0,0
00652,1.1242758458971159e-5,0,0,0,0,0
00656,1.881441211501296e-5,0,0,0,0,0
00659,9.177762007323395e-7,0,0,0,0,0
00662,0,4.494273585829508e-6,5.442001023776443e-6,0,0,0
00674,2.2714960968125403e-5,0,0,0,1.016574226183699e-5,0
00680,7.571653656041801e-6,0,0,0,0,0
00683,0,9.461628601746333e-7,0,0,0,0
00685,0,0,0,0,1.4232039166571786e-5,0
00688,2.5468289570322423e-5,0,0,0,0,0
00693,2.064996451647764e-6,0,0,0,0,0
00716,4.588881003661698e-6,0,0,0,0,0
00717,0,3.7846514406985332e-6,0,0,0,0
00718,5.277213154210952e-6,0,0,0,0,0
00719,0,2.3654071504365833e-7,0,0,0,0
00725,2.5468289570322423e-5,5.203895730960483e-6,0,0,0,0
00727,5.024824699009559e-5,8.752006456615358e-6,0,0,0,0
00728,4.818325053844783e-6,5.440436446004141e-6,0,0,0,0
00729,7.319265200840408e-5,0,0,0,0,0
00735,0,1.2773198612357549e-5,0,0,0,0
00736,0,1.679439076809974e-5,0,0,0,0
00738,6.653877455309462e-6,0,6.122251151748498e-6,0,0,0
00739,6.8833215054925465e-6,0,0,0,0,0
00745,1.789663591428062e-5,0,0,0,2.710864603156531e-5,0
00754,0,2.6492560084889732e-5,0,0,0,0
00757,0,0,0,0,0,1.4914330487714587e-5
00765,3.671104802929358e-6,0,0,0,0,0
00767,0,0,3.4012506398602764e-6,0,0,0
00771,2.2944405018308487e-7,0,0,0,0,1.6512294468541148e-5
00772,2.9827726523801034e-6,0,0,0,0,0
00773,1.1013314408788075e-5,0,0,0,0,0
00775,0,2.128866435392925e-6,0,0,0,0
00778,1.2389978709886583e-5,8.042384311484383e-6,0,0,0,0
00791,4.359436953478612e-6,5.1092794449430196e-5,0,0,0,0
00795,0,2.3654071504365833e-7,0,0,0,0
00901,0,2.3654071504365833e-7,0,0,0,0
00907,0,3.997538084237826e-5,0,0,0,0
00909,0,0,5.101875959790415e-6,0,0,0
00911,2.019107641611147e-5,4.210424727777118e-5,0,0,0,0
00912,0,1.3482820757488524e-5,0,0,0,0
00913,0,1.561168719288145e-5,0,0,0,0
00915,2.7533286021970188e-6,0,0,0,0,0
00917,1.2848866810252753e-5,0,3.061125575874249e-6,0,0,0
00918,0,0,0,0,2.9141794483932704e-5,0
00923,0,9.698169316789992e-6,0,0,0,0
00924,2.064996451647764e-6,0,0,0,0,0
00925,0,6.3865993061787746e-6,0,0,0,0
00926,8.94831795714031e-6,1.9632879348623642e-5,2.7210005118882213e-6,0,0,0
00927,0,1.6557850053056083e-5,0,0,0,0
00949,4.588881003661698e-6,0,0,0,0,0
00953,1.1242758458971159e-5,0,8.843251663636719e-6,0,2.846407833314357e-5,0
00956,2.064996451647764e-6,5.203895730960483e-6,0,0,0,0
00957,5.5066572043940375e-6,4.1158084417596545e-5,0,0,0,0
00959,0,1.0407791461920965e-5,4.7617508958043875e-6,0,0,0
00961,4.588881003661698e-6,0,0,0,0,6.924510583581772e-6
00965,0,7.09622145130975e-6,0,0,0,0
00966,0,0,5.442001023776443e-6,0,0,0
00968,0,3.075029295567558e-6,0,0,0,0
00969,1.5831639462632858e-5,0,0,0,0,0
00976,4.841269458863091e-5,0,0,0,1.4232039166571786e-5,0
00979,0,1.868671648844901e-5,0,0,0,0
00982,2.1108852616843808e-5,0,0,0,0,1.9708222430194274e-5
00983,8.489429856774141e-6,0,0,0,0,0
00985,3.900548853112443e-6,6.3865993061787746e-6,0,0,1.4232039166571786e-5,0
00987,2.064996451647764e-5,9.225087886702675e-6,0,0,0,0
01001,4.038215283222294e-5,3.358878153619948e-5,9.523501791608775e-6,0,8.945853190416551e-5,0
01002,1.1472202509154244e-4,1.629765526650806e-4,2.3128504351049883e-5,1.4445447232371583e-4,2.1686916825252247e-4,7.297368845774637e-5
01003,1.7345970193841217e-4,2.0176922993224054e-4,1.6666128135315356e-5,1.4577974271200682e-5,1.1792261023730909e-4,1.77906656532024e-4
01007,0,5.8425556615783606e-5,7.142626343706581e-6,0,2.9819510634721837e-5,0
01010,0,0,0,0,4.744013055523929e-6,0
01013,7.112765555675631e-6,7.332762166353408e-6,2.3808754479021938e-6,0,0,1.6512294468541148e-5
01020,7.342209605858716e-6,3.524456654150509e-5,1.462537775139919e-5,0,0,0
01022,0,0,0,7.554041213258535e-5,0,4.2612372822041674e-6
01027,3.2810499176181136e-5,2.7202182230020707e-5,0,0,6.777161507891327e-7,0
01028,6.653877455309462e-6,3.075029295567558e-5,0,0,8.132593809469592e-6,3.728582621928647e-6
01030,1.3766643010985094e-6,6.623140021222433e-6,0,0,0,0
01033,0,0,6.122251151748498e-6,0,8.810309960258725e-6,0
01034,0,7.096221451309749e-7,1.0203751919580829e-6,0,0,3.195927961653126e-6
01035,1.606108351281594e-6,1.7504012913230717e-5,2.7210005118882213e-6,2.6505407765819423e-5,0,0
01036,3.212216702563188e-6,0,0,0,5.421729206313061e-6,0
01037,0,0,6.802501279720553e-7,0,6.099445357102194e-6,0
01038,6.883321505492547e-7,3.7846514406985332e-6,0,0,0,0
01040,2.913939437325178e-5,5.203895730960483e-6,3.4012506398602764e-6,0,1.3554323015782654e-5,1.0653093205510419e-6
01053,0,2.3654071504365833e-7,0,0,0,0
01054,7.342209605858716e-6,1.4192442902619499e-6,0,5.301081553163884e-6,6.099445357102194e-6,0
01056,0,5.203895730960483e-6,3.5713131718532906e-5,2.518013737752845e-5,1.4909755317360919e-5,5.326546602755209e-7
01057,0,8.278925026528042e-6,1.7686503327273438e-5,7.156460096771244e-5,0,1.4381675827439066e-5
01060,2.684495387142093e-5,3.713689226185436e-5,0,7.951622329745827e-6,2.846407833314357e-5,1.0120438545234898e-5
01062,4.588881003661698e-6,1.2773198612357549e-5,9.183376727622747e-6,0,0,5.3265466027552095e-6
01063,1.4913863261900517e-5,5.7006312325521656e-5,1.7006253199301382e-6,2.6505407765819423e-5,1.762061992051745e-5,1.4381675827439066e-5
01069,0,3.571764797159241e-5,0,0,0,0
01070,0,0,0,0,6.777161507891327e-7,0
01072,0,2.3654071504365834e-6,0,0,0,0
01073,9.177762007323396e-6,0,0,0,0,0
01075,1.6978859713548282e-5,1.0384137390416601e-4,3.061125575874249e-5,1.7228515047782623e-5,3.32080913886675e-5,1.171840252606146e-5
01077,0,1.6557850053056082e-6,0,4.3733922813602046e-5,0,1.8110258449367713e-5
01080,0,4.730814300873167e-6,0,0,0,0
01081,0,0,0,0,0,1.0653093205510419e-6
01082,2.2944405018308487e-7,0,0,0,0,0
01085,3.3957719427096564e-5,7.356416237857774e-5,4.4216258318183596e-6,1.5903244659491654e-5,3.11749429363001e-5,1.4914330487714587e-5
01088,0,0,1.0884002047552885e-5,0,0,0
01089,1.1426313699117627e-4,5.4404364460041414e-5,5.203913478986223e-5,0,1.1521174563415255e-5,2.6100078353500528e-5
01095,1.1472202509154245e-6,2.8384885805239e-5,8.163001535664663e-6,0,0,3.089397029598022e-5
01103,6.194989354943292e-6,3.7846514406985332e-6,2.3808754479021938e-6,0,4.066296904734796e-6,0
01104,1.3766643010985094e-6,1.3719361472532183e-5,2.3808754479021938e-6,0,5.8961305118654545e-5,0
01105,0,0,0,1.4577974271200682e-5,0,5.85920126303073e-6
01106,6.240878164979909e-5,2.8384885805239e-5,1.7346378263287412e-5,0,2.5753213729987043e-5,5.85920126303073e-6
01107,0,2.956758938045729e-5,0,0,0,0
01108,1.4684419211717432e-5,3.358878153619948e-5,0,0,0,4.042848871491204e-4
01109,3.900548853112443e-6,1.537514647783779e-5,8.163001535664663e-6,3.9758111648729136e-6,0,1.0120438545234898e-5
01118,3.900548853112443e-6,8.988547171659017e-6,0,0,0,1.7417807391009534e-4
01119,4.8871582688997076e-5,8.752006456615358e-6,1.462537775139919e-5,0,0,7.776758040022607e-5
01128,0,0,6.802501279720553e-6,0,0,4.31450274823172e-5
01129,3.005717057398412e-5,3.3115700106112165e-6,0,0,0,9.587783884959378e-6
01151,4.359436953478612e-6,0,0,0,0,0
01201,3.8776044480941346e-05,2.365407150436583e-5,1.020375191958083e-5,3.180648931898331e-5,2.846407833314357e-5,1.5979639808265627e-5
01220,0,2.8384885805238997e-6,0,0,0,2.6632733013776046e-5
01223,0,0,6.802501279720553e-7,1.325270388290971e-6,0,0
01225,8.718873906957225e-6,9.698169316789992e-6,0,0,0,0
01226,0,1.2773198612357549e-5,0,0,1.2876606864993521e-5,0
01230,1.606108351281594e-6,3.7846514406985332e-6,0,0,0,2.1306186411020837e-6
01236,4.7724362438081655e-5,7.096221451309749e-7,0,6.626351941454856e-6,0,0
01238,0,0,6.802501279720553e-7,0,2.3720065277619644e-5,0
01245,0,7.096221451309749e-7,0,0,0,0
