name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AADITYA,2.652379184128163e-5,0,0,0,0,0
AAGE,0,0,0,6.413422009581653e-6,0,0
AAKASH,1.0609516736512653e-4,0,0,0,0,0
AALIA,2.652379184128163e-5,0,0,0,0,0
AALISHA,2.652379184128163e-5,0,0,0,0,0
AALOK,2.652379184128163e-5,0,0,0,0,0
AAMIR,2.9176171025409797e-4,0,0,0,0,0
AAMNA,2.652379184128163e-5,0,0,0,0,0
AANAL,2.652379184128163e-5,0,0,0,0,0
AANCHAL,1.856665428889714e-4,0,0,0,0,0
AARAV,5.304758368256326e-5,0,0,0,0,0
AARIF,0,2.91587694999271e-5,0,0,0,0
AAROHI,5.304758368256326e-5,0,0,0,0,0
AARON,5.304758368256326e-5,8.747630849978132e-5,6.784260515603799e-4,1.2826844019163307e-5,0,0
AARTHI,7.957137552384489e-5,0,0,0,0,0
AARTI,3.713330857779428e-4,0,0,0,0,0
AARUSHI,2.652379184128163e-5,0,0,0,0,0
AARYA,5.304758368256326e-5,0,0,0,0,0
AASHIKA,2.652379184128163e-5,0,0,0,0,0
AASHISH,1.856665428889714e-4,0,0,0,0,0
AASHKA,2.652379184128163e-5,0,0,0,0,0
AASIF,5.304758368256326e-5,0,0,0,0,0
AASIYA,2.652379184128163e-5,0,0,0,0,0
AASTHA,5.304758368256326e-5,0,0,0,0,0
AAYUSH,5.304758368256326e-5,0,0,0,0,0
ABAD,0,0,1.35685210312076e-4,0,0,0
ABANI,5.304758368256326e-5,0,0,0,0,0
ABBAS,3.1828550209537956e-4,0,1.35685210312076e-4,0,0,0
ABBASI,5.304758368256326e-5,0,0,0,0,0
ABBIE,2.652379184128163e-5,0,0,0,0,0
ABBY,0,0,1.35685210312076e-4,0,0,0
ABBYGALE,0,0,1.35685210312076e-4,0,0,0
ABDALAZIZ,1.0609516736512653e-4,0,0,0,0,0
ABDALHAMID,1.3261895920640813e-4,0,0,0,0,0
ABDALKARIM,1.3261895920640813e-4,0,0,0,0,0
ABDALMAJID,1.0609516736512653e-4,2.91587694999271e-5,0,0,0,0
ABDALRAHIM,7.957137552384489e-5,0,0,0,0,0
ABDALRAHMAN,1.3261895920640813e-4,0,0,0,0,0
ABDELAZIZ,5.304758368256326e-5,0,0,0,0,0
ABDELHAK,5.304758368256326e-5,2.91587694999271e-5,0,0,0,0
ABDI,2.652379184128163e-5,0,0,0,0,0
ABDOOL,2.652379184128163e-5,0,0,0,0,0
ABDU,5.304758368256326e-5,0,0,0,0,0
ABDUL,0.002784998143334571,5.83175389998542e-5,2.71370420624152e-4,0,0,0
ABDULBARI,5.304758368256326e-5,0,0,0,0,0
ABDULBASIT,0,0,1.35685210312076e-4,0,0,0
ABDULGHAFOOR,1.0609516736512653e-4,0,0,0,0,0
ABDULGHANI,2.652379184128163e-5,0,0,0,0,0
ABDULHAFIZ,7.957137552384489e-5,0,0,0,0,0
ABDULHAI,7.957137552384489e-5,0,0,0,0,0
ABDULHALIM,5.304758368256326e-5,0,0,0,0,0
ABDULHAMID,2.652379184128163e-5,0,0,0,0,0
ABDULJABBAR,5.304758368256326e-5,0,0,0,0,0
ABDULKADIR,0,2.91587694999271e-5,0,0,0,0
ABDULLA,1.0609516736512653e-4,5.83175389998542e-5,0,0,0,0
ABDULLAH,3.9785687761922445e-4,8.747630849978132e-5,1.35685210312076e-4,6.413422009581653e-6,0,0
ABDULQADIR,5.304758368256326e-5,0,0,0,0,0
ABDULQAYYUM,5.304758368256326e-5,0,0,0,0,0
ABDULRAZAK,0,0,1.35685210312076e-4,0,0,0
ABDULSAMAD,5.304758368256326e-5,0,0,0,0,0
ABDULSATTAR,7.957137552384489e-5,0,0,0,0,0
ABDUR,4.5090446130178775e-4,2.91587694999271e-5,0,0,0,0
ABDURAHMAN,0,0,1.35685210312076e-4,0,0,0
ABDURRAHMAN,2.652379184128163e-5,0,0,0,0,0
ABDURRASHID,1.5914275104768978e-4,0,0,0,0,0
ABDUS,1.0609516736512653e-4,0,0,0,0,0
ABE,0,0,0,1.9240266028744957e-5,0,0
ABED,2.652379184128163e-5,0,1.35685210312076e-4,0,0,0
ABEL,5.304758368256326e-5,2.91587694999271e-5,5.42740841248304e-4,0,0,0
ABEY,2.652379184128163e-5,0,0,0,0,0
ABHA,7.957137552384489e-5,0,0,0,0,0
ABHAY,7.957137552384489e-4,0,0,0,0,0
ABHAYA,7.957137552384489e-5,0,0,0,0,0
ABHI,5.304758368256326e-5,0,0,0,0,0
ABHIJAT,5.304758368256326e-5,0,0,0,0,0
ABHIJEET,2.6523791841281627e-4,0,0,0,0,0
ABHIJIT,7.16142379714604e-4,0,0,0,0,0
ABHIJITH,2.652379184128163e-5,0,0,0,0,0
ABHIK,5.304758368256326e-5,0,0,0,0,0
ABHILASH,1.856665428889714e-4,0,0,0,0,0
ABHILASHA,7.957137552384489e-5,0,0,0,0,0
ABHIMANYU,5.03952044984351e-4,0,0,0,0,0
ABHINANDAN,7.957137552384489e-5,0,0,0,0,0
ABHINAV,3.9785687761922445e-4,0,0,0,0,0
ABHINAY,7.957137552384489e-5,0,0,0,0,0
ABHIRAMI,5.304758368256326e-5,0,0,0,0,0
ABHISEK,5.304758368256326e-5,0,0,0,0,0
ABHISHEK,0.002095379555461249,0,0,0,0,0
ABI,2.652379184128163e-5,0,0,1.2826844019163307e-5,0,0
ABID,3.713330857779428e-4,0,0,0,0,0
ABIDA,5.304758368256326e-5,0,0,0,0,0
ABIGAIL,2.652379184128163e-5,0,2.71370420624152e-4,0,0,0
ABIKO,0,0,0,1.2826844019163307e-5,0,0
ABIN,2.652379184128163e-5,0,0,0,0,0
ABINASH,5.304758368256326e-5,0,0,0,0,0
ABIR,1.0609516736512653e-4,0,0,0,0,0
ABRA,0,0,1.35685210312076e-4,0,0,0
ABRAHAM,6.630947960320408e-4,2.91587694999271e-5,6.784260515603799e-4,6.413422009581653e-6,0,0
ABRAM,2.652379184128163e-5,0,0,0,0,0
ABRAR,2.6523791841281627e-4,0,0,0,0,0
ABU,5.569996286669142e-4,2.91587694999271e-5,0,0,0,0
ABUBAKAR,2.652379184128163e-5,0,0,0,0,0
ABUBAKR,5.304758368256326e-5,0,0,0,0,0
ABUL,6.100472123494775e-4,0,1.35685210312076e-4,0,0,0
ABY,5.304758368256326e-5,0,0,0,0,0
ACACIO,2.652379184128163e-5,0,0,0,0,0
ACE,0,0,4.0705563093622793e-4,6.413422009581653e-6,0,0
ACEL,0,0,1.35685210312076e-4,0,0,0
ACHAL,2.652379184128163e-5,0,0,0,0,0
ACHALA,2.652379184128163e-5,0,0,0,0,0
ACHAR,5.304758368256326e-5,0,0,0,0,0
ACHARYA,2.1219033473025305e-4,0,0,0,0,0
ACHELLE,0,0,1.35685210312076e-4,0,0,0
ACHINT,5.304758368256326e-5,0,0,0,0,0
ACHINTYA,2.652379184128163e-5,0,0,0,0,0
ACHYUT,1.3261895920640813e-4,0,0,0,0,0
ACHYUTA,5.304758368256326e-5,0,0,0,0,0
ACHYUTANANDA,1.3261895920640813e-4,0,0,0,0,0
ACY,0,0,1.35685210312076e-4,0,0,0
AD,2.652379184128163e-5,0,0,0,0,0
ADA,1.0609516736512653e-4,1.4579384749963554e-4,1.35685210312076e-4,0,0,0
ADAH,2.652379184128163e-5,0,0,0,0,0
ADAM,1.3261895920640813e-4,1.4579384749963554e-4,2.71370420624152e-4,6.413422009581653e-6,3.219471362802227e-5,0
ADAMS,0,2.91587694999271e-5,0,0,0,0
ADAN,0,0,1.35685210312076e-4,0,0,0
ADAR,2.652379184128163e-5,0,0,0,0,0
ADARSH,2.9176171025409797e-4,0,0,0,0,0
ADDY,7.957137552384489e-5,0,0,0,0,0
ADEEB,2.652379184128163e-5,0,0,0,0,0
ADEEL,5.304758368256326e-5,0,0,0,0,0
ADEELA,2.652379184128163e-5,0,0,0,0,0
ADEEM,2.652379184128163e-5,0,0,0,0,0
ADEL,0,5.83175389998542e-5,1.35685210312076e-4,0,0,0
ADELAIDA,0,0,1.35685210312076e-4,0,0,0
ADELAIDE,2.652379184128163e-5,0,0,0,0,0
ADELINA,0,0,1.35685210312076e-4,0,0,0
ADELINE,2.652379184128163e-5,5.83175389998542e-5,1.35685210312076e-4,0,0,0
ADEMIR,0,0,0,6.413422009581653e-6,0,0
ADESH,7.957137552384489e-5,0,0,0,0,0
ADHIK,5.304758368256326e-5,0,0,0,0,0
ADI,7.957137552384489e-5,2.91587694999271e-5,0,0,0,0
ADIA,0,2.91587694999271e-5,0,0,0,0
ADIB,2.652379184128163e-5,0,0,0,0,0
ADIL,2.1219033473025305e-4,5.83175389998542e-5,0,0,0,0
ADINARAYANA,5.304758368256326e-5,0,0,0,0,0
ADINATH,5.304758368256326e-5,0,0,0,0,0
ADIS,0,0,1.35685210312076e-4,0,0,0
ADITA,2.652379184128163e-5,0,0,0,0,0
