name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AADITYA,1,0,0,0,0,0
AAGE,0,0,0,1,0,0
AAKASH,1,0,0,0,0,0
AALIA,1,0,0,0,0,0
AALISHA,1,0,0,0,0,0
AALOK,1,0,0,0,0,0
AAMIR,1,0,0,0,0,0
AAMNA,1,0,0,0,0,0
AANAL,1,0,0,0,0,0
AANCHAL,1,0,0,0,0,0
AARAV,1,0,0,0,0,0
AARIF,0,1,0,0,0,0
AAROHI,1,0,0,0,0,0
AARON,0.08643643885626148,0.13851776501792495,0.7714771151332329,0.0035686809925807,0,0
AARTHI,1,0,0,0,0,0
AARTI,1,0,0,0,0,0
AARUSHI,1,0,0,0,0,0
AARYA,1,0,0,0,0,0
AASHIKA,1,0,0,0,0,0
AASHISH,1,0,0,0,0,0
AASHKA,1,0,0,0,0,0
AASIF,1,0,0,0,0,0
AASIYA,1,0,0,0,0,0
AASTHA,1,0,0,0,0,0
AAYUSH,1,0,0,0,0,0
ABAD,0,0,1,0,0,0
ABANI,1,0,0,0,0,0
ABBAS,0.7707056025755049,0,0.22929439742449503,0,0,0
ABBASI,1,0,0,0,0,0
ABBIE,1,0,0,0,0,0
ABBY,0,0,1,0,0,0
ABBYGALE,0,0,1,0,0,0
ABDALAZIZ,1,0,0,0,0,0
ABDALHAMID,1,0,0,0,0,0
ABDALKARIM,1,0,0,0,0,0
ABDALMAJID,0.7892100248795708,0.2107899751204291,0,0,0,0
ABDALRAHIM,1,0,0,0,0,0
ABDALRAHMAN,1,0,0,0,0,0
ABDELAZIZ,1,0,0,0,0,0
ABDELHAK,0.6518141387824701,0.3481858612175299,0,0,0,0
ABDI,1,0,0,0,0,0
ABDOOL,1,0,0,0,0,0
ABDU,1,0,0,0,0,0
ABDUL,0.9188199482018814,0.018697711856859492,0.062482339941259166,0,0,0
ABDULBARI,1,0,0,0,0,0
ABDULBASIT,0,0,1,0,0,0
ABDULGHAFOOR,1,0,0,0,0,0
ABDULGHANI,1,0,0,0,0,0
ABDULHAFIZ,1,0,0,0,0,0
ABDULHAI,1,0,0,0,0,0
ABDULHALIM,1,0,0,0,0,0
ABDULHAMID,1,0,0,0,0,0
ABDULJABBAR,1,0,0,0,0,0
ABDULKADIR,0,1,0,0,0,0
ABDULLA,0.6518141387824701,0.3481858612175299,0,0,0,0
ABDULLAH,0.6875526081584774,0.14691064999061765,0.16364428695834535,0.0018924548925596254,0,0
ABDULQADIR,1,0,0,0,0,0
ABDULQAYYUM,1,0,0,0,0,0
ABDULRAZAK,0,0,1,0,0,0
ABDULSAMAD,1,0,0,0,0,0
ABDULSATTAR,1,0,0,0,0,0
ABDUR,0.940871259038043,0.059128740961956944,0,0,0,0
ABDURAHMAN,0,0,1,0,0,0
ABDURRAHMAN,1,0,0,0,0,0
