name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AALTO,1,0,0,0,0,0
AAMIR,1,0,0,0,0,0
AARIF,1,0,0,0,0,0
AARON,1,0,0,0,0,0
ABAD,0,0,1,0,0,0
ABADA,0,0,1,0,0,0
ABADILLA,0,0,1,0,0,0
ABADSANTOS,0,0,1,0,0,0
ABALOS,0,0,1,0,0,0
ABAN,0.17900493530251463,0,0.8209950646974853,0,0,0
ABANDO,0,0,1,0,0,0
ABANTE,0,0,1,0,0,0
ABARQUEZ,0,0,1,0,0,0
ABAT,0,0,1,0,0,0
ABAY,0,0,1,0,0,0
ABAYA,0,0,1,0,0,0
ABAYON,0,0,1,0,0,0
ABAZA,0,1,0,0,0,0
ABBAS,0.8846208580930531,0.11537914190694684,0,0,0,0
ABBASI,1,0,0,0,0,0
ABBASS,1,0,0,0,0,0
ABBETT,0,0,0,0,0,1
ABBI,1,0,0,0,0,0
ABBOTT,1,0,0,0,0,0
ABDALRAHMAN,1,0,0,0,0,0
ABDI,1,0,0,0,0,0
ABDU,0,1,0,0,0,0
ABDUL,0.7478025969032357,0.04433374487095082,0.20786365822581337,0,0,0
ABDULALI,0.9752394712842358,0,0,0.02476052871576423,0,0
ABDULBAKI,0,1,0,0,0,0
ABDULLA,0.718760840147893,0.28123915985210707,0,0,0,0
ABDULLAH,0.9246268529208513,0.07537314707914863,0,0,0,0
ABDULLATIF,1,0,0,0,0,0
ABDULSALAM,1,0,0,0,0,0
ABDULSAMAD,1,0,0,0,0,0
ABDULWAHID,0,0,1,0,0,0
ABDURAHMAN,1,0,0,0,0,0
ABDUSSALAM,1,0,0,0,0,0
ABE,0,0.024572862987298754,0.11521258148820264,0.8482515284091964,0.011963027115302253,0
ABEDIN,1,0,0,0,0,0
ABEGGLEN,0,0,0,1,0,0
ABEKAWA,0,0,0,1,0,0
ABEL,1,0,0,0,0,0
ABELARDO,0,0,1,0,0,0
ABELEDA,0,0,1,0,0,0
ABELGAS,0,0,1,0,0,0
ABELLA,0,0,1,0,0,0
ABELLANA,0,0,1,0,0,0
ABELLANOSA,0,0,1,0,0,0
ABELLO,0,0,1,0,0,0
ABEMATSU,0,0,0,1,0,0
ABENOJAR,0,0,1,0,0,0
ABERA,0,0,0.989049819802618,0.010950180197381941,0,0
ABHISHEK,1,0,0,0,0,0
ABHYANKAR,1,0,0,0,0,0
ABI,0.9516754831554759,0,0,0.048324516844524185,0,0
ABICHANDANI,1,0,0,0,0,0
ABID,1,0,0,0,0,0
ABIDI,1,0,0,0,0,0
ABIERA,0,0,1,0,0,0
ABIKO,0,0,0,1,0,0
ABIR,1,0,0,0,0,0
ABIRU,0,0,0,1,0,0
ABIS,0,0,1,0,0,0
ABLA,0,1,0,0,0,0
ABLAN,0,0,1,0,0,0
ABLASHI,1,0,0,0,0,0
ABLE,0,1,0,0,0,0
ABO,0,0,0,0.4896999379662046,0.5103000620337954,0
ABOITIZ,0,0,1,0,0,0
ABOOBACKER,1,0,0,0,0,0
ABRAHAM,0.8858874473458712,0,0.11286299963978277,0.0012495530143459446,0,0
ABRAHAMSEN,0,0,1,0,0,0
ABRAHAMYAN,0,1,0,0,0,0
ABRAMOV,0,1,0,0,0,0
ABRAMSKY,0,1,0,0,0,0
ABRANCHES,1,0,0,0,0,0
ABRAR,1,0,0,0,0,0
ABRENICA,0,0,1,0,0,0
ABREO,1,0,0,0,0,0
ABRERA,0,0,1,0,0,0
ABREU,1,0,0,0,0,0
ABRIGO,0,0,1,0,0,0
ABROL,1,0,0,0,0,0
ABU,0.21232459807122014,0.05192442694603347,0.7303602279278897,0.005390747054856746,0,0
ABUBAKAR,0,0,1,0,0,0
ABUDA,0,0,1,0,0,0
ABUEG,0,0,1,0,0,0
ABUEL,0,0,1,0,0,0
ABUEVA,0,0,1,0,0,0
ABUNDO,0,0,1,0,0,0
ABURATANI,0,0,0,1,0,0
ABY,0,0,1,0,0,0
ACALA,0,0,1,0,0,0
ACE,0,0.793935766516022,0,0.20606423348397798,0,0
ACEBEDO,0,0,1,0,0,0
ACEDERA,0,0,1,0,0,0
ACHACOSO,0,0,1,0,0,0
ACHANTA,1,0,0,0,0,0
ACHAR,1,0,0,0,0,0
ACHAREKAR,1,0,0,0,0,0
ACHARY,1,0,0,0,0,0
ACHARYA,1,0,0,0,0,0
ACHI,0,0,0,1,0,0
ACHIHA,0,0,0,1,0,0
ACHILLES,0,0,1,0,0,0
ACHONG,0,1,0,0,0,0
ACHREKAR,1,0,0,0,0,0
ACHUTHAN,1,0,0,0,0,0
ACLAN,0,0,1,0,0,0
ACOL,0,0,1,0,0,0
ACOSTA,0,0.05062152683919373,0.9493784731608063,0,0,0
ACRI,0,0,0,1,0,0
ACTIVE,0,0,0,0,1,0
ACUNA,0,0,1,0,0,0
ADACHI,0,0,0,1,0,0
ADACHIHARA,0,0,0,1,0,0
ADAIR,1,0,0,0,0,0
ADAJANIA,1,0,0,0,0,0
ADAKE,0,1,0,0,0,0
ADALA,1,0,0,0,0,0
ADALIA,0,0,1,0,0,0
ADAM,0.5667628633689519,0,0.43323713663104807,0,0,0
ADAMS,0,0.06614744970235739,0.9304188660892461,0.003433684208396521,0,0
ADAMSON,0.5055079102021306,0.4944920897978694,0,0,0,0
ADAN,0,0,0.989049819802618,0.010950180197381941,0,0
ADANI,1,0,0,0,0,0
ADANIYA,0,0,0,1,0,0
ADAPA,1,0,0,0,0,0
ADAYA,1,0,0,0,0,0
ADDIE,1,0,0,0,0,0
ADDIS,0,0,0,1,0,0
ADDY,1,0,0,0,0,0
ADEA,0,0,1,0,0,0
ADEEB,1,0,0,0,0,0
ADESOPE,0,0,0,0,0,1
ADHAV,1,0,0,0,0,0
ADHI,1,0,0,0,0,0
ADHIA,1,0,0,0,0,0
ADHIKARI,1,0,0,0,0,0
ADHIKARY,1,0,0,0,0,0
ADI,1,0,0,0,0,0
ADIB,0.17900493530251463,0,0.8209950646974853,0,0,0
ADIGA,1,0,0,0,0,0
ADIL,0.5055079102021306,0.4944920897978694,0,0,0,0
ADILI,0,1,0,0,0,0
ADIVI,1,0,0,0,0,0
ADLAWAN,0,0,1,0,0,0
ADMIRAL,1,0,0,0,0,0
ADNAN,1,0,0,0,0,0
ADOLF,1,0,0,0,0,0
ADOLFO,0,0,1,0,0,0
ADONIS,0,0,1,0,0,0
ADOR,0,0,1,0,0,0
ADRIANO,0,0,1,0,0,0
ADRIATICO,0,0,1,0,0,0
ADUMA,0,0,0,1,0,0
ADUSUMILLI,1,0,0,0,0,0
ADUWA,0,0,0,1,0,0
ADVANI,1,0,0,0,0,0
ADVIENTO,0,0,1,0,0,0
ADVINCULA,0,0,1,0,0,0
AEBA,0,0,0,1,0,0
AFABLE,0,0,1,0,0,0
AFONSO,1,0,0,0,0,0
AFRA,0,0,0,1,0,0
AFREEN,1,0,0,0,0,0
AFRICA,0,0,1,0,0,0
AFRIN,1,0,0,0,0,0
AFROZ,1,0,0,0,0,0
AFROZE,1,0,0,0,0,0
AFSAR,1,0,0,0,0,0
AFTAB,1,0,0,0,0,0
AFZA,1,0,0,0,0,0
AFZAL,1,0,0,0,0,0
AGA,0.2454257816724411,0,0.7504201123917883,0.004154105935770547,0,0
