name,asian_indian,chinese,filipino,japanese,korean,vietnamese
AALTO,2.12210597797254e-5,0,0,0,0,0
AAMIR,2.12210597797254e-5,0,0,0,0,0
AARIF,4.24421195594508e-5,0,0,0,0,0
AARON,6.366317933917619e-5,0,0,0,0,0
ABAD,0,0,0.0017069701280227596,0,0,0
ABADA,0,0,1.422475106685633e-4,0,0,0
ABADILLA,0,0,2.844950213371266e-4,0,0,0
ABADSANTOS,0,0,4.267425320056899e-4,0,0,0
ABALOS,0,0,5.689900426742532e-4,0,0,0
ABAN,2.12210597797254e-5,0,1.422475106685633e-4,0,0,0
ABANDO,0,0,1.422475106685633e-4,0,0,0
ABANTE,0,0,1.422475106685633e-4,0,0,0
ABARQUEZ,0,0,1.422475106685633e-4,0,0,0
ABAT,0,0,1.422475106685633e-4,0,0,0
ABAY,0,0,1.422475106685633e-4,0,0,0
ABAYA,0,0,9.957325746799432e-4,0,0,0
ABAYON,0,0,1.422475106685633e-4,0,0,0
ABAZA,0,2.1151486949532554e-5,0,0,0,0
ABBAS,3.18315896695881e-4,4.230297389906511e-5,0,0,0,0
ABBASI,6.366317933917619e-5,0,0,0,0,0
ABBASS,2.12210597797254e-5,0,0,0,0,0
ABBETT,0,0,0,0,0,1.7337031900138697e-4
ABBI,8.48842391189016e-5,0,0,0,0,0
ABBOTT,1.2732635867835238e-4,0,0,0,0,0
ABDALRAHMAN,2.12210597797254e-5,0,0,0,0,0
ABDI,2.12210597797254e-5,0,0,0,0,0
ABDU,0,2.1151486949532554e-5,0,0,0,0
ABDUL,7.002949727309382e-4,4.230297389906511e-5,2.844950213371266e-4,0,0,0
ABDULALI,4.24421195594508e-5,0,0,6.225487144369047e-6,0,0
ABDULBAKI,0,2.1151486949532554e-5,0,0,0,0
ABDULLA,1.06105298898627e-4,4.230297389906511e-5,0,0,0,0
ABDULLAH,2.5465271735670476e-4,2.1151486949532554e-5,0,0,0,0
ABDULLATIF,2.12210597797254e-5,0,0,0,0,0
ABDULSALAM,2.12210597797254e-5,0,0,0,0,0
ABDULSAMAD,2.12210597797254e-5,0,0,0,0,0
ABDULWAHID,0,0,1.422475106685633e-4,0,0,0
ABDURAHMAN,4.24421195594508e-5,0,0,0,0,0
ABDUSSALAM,2.12210597797254e-5,0,0,0,0,0
ABE,0,2.1151486949532554e-5,1.422475106685633e-4,0.004139948951005416,2.9864118261908317e-5,0
ABEDIN,4.24421195594508e-5,0,0,0,0,0
ABEGGLEN,0,0,0,6.225487144369047e-6,0,0
ABEKAWA,0,0,0,1.2450974288738094e-5,0,0
ABEL,4.24421195594508e-5,0,0,0,0,0
ABELARDO,0,0,1.422475106685633e-4,0,0,0
ABELEDA,0,0,1.422475106685633e-4,0,0,0
ABELGAS,0,0,1.422475106685633e-4,0,0,0
ABELLA,0,0,4.267425320056899e-4,0,0,0
ABELLANA,0,0,9.957325746799432e-4,0,0,0
ABELLANOSA,0,0,5.689900426742532e-4,0,0,0
ABELLO,0,0,1.422475106685633e-4,0,0,0
ABEMATSU,0,0,0,1.2450974288738094e-5,0,0
ABENOJAR,0,0,1.422475106685633e-4,0,0,0
ABERA,0,0,1.422475106685633e-4,6.225487144369047e-6,0,0
ABHISHEK,4.24421195594508e-5,0,0,0,0,0
ABHYANKAR,1.2732635867835238e-4,0,0,0,0,0
ABI,2.12210597797254e-5,0,0,6.225487144369047e-6,0,0
ABICHANDANI,2.12210597797254e-5,0,0,0,0,0
ABID,2.12210597797254e-5,0,0,0,0,0
ABIDI,4.24421195594508e-5,0,0,0,0,0
ABIERA,0,0,1.422475106685633e-4,0,0,0
ABIKO,0,0,0,3.735292286621428e-5,0,0
ABIR,2.12210597797254e-5,0,0,0,0,0
ABIRU,0,0,0,1.2450974288738094e-5,0,0
ABIS,0,0,1.422475106685633e-4,0,0,0
ABLA,0,2.1151486949532554e-5,0,0,0,0
ABLAN,0,0,4.267425320056899e-4,0,0,0
ABLASHI,2.12210597797254e-5,0,0,0,0,0
ABLE,0,2.1151486949532554e-5,0,0,0,0
ABO,0,0,0,5.602938429932142e-5,2.9864118261908317e-5,0
ABOITIZ,0,0,4.267425320056899e-4,0,0,0
ABOOBACKER,4.24421195594508e-5,0,0,0,0,0
ABRAHAM,7.639581520701144e-4,0,1.422475106685633e-4,6.225487144369047e-6,0,0
ABRAHAMSEN,0,0,1.422475106685633e-4,0,0,0
ABRAHAMYAN,0,2.1151486949532554e-5,0,0,0,0
ABRAMOV,0,2.1151486949532554e-5,0,0,0,0
ABRAMSKY,0,2.1151486949532554e-5,0,0,0,0
ABRANCHES,4.24421195594508e-5,0,0,0,0,0
ABRAR,2.12210597797254e-5,0,0,0,0,0
ABRENICA,0,0,2.844950213371266e-4,0,0,0
ABREO,2.12210597797254e-5,0,0,0,0,0
ABRERA,0,0,2.844950213371266e-4,0,0,0
ABREU,4.24421195594508e-5,0,0,0,0,0
ABRIGO,0,0,1.422475106685633e-4,0,0,0
ABROL,8.48842391189016e-5,0,0,0,0,0
ABU,8.48842391189016e-5,2.1151486949532554e-5,4.267425320056899e-4,1.2450974288738094e-5,0,0
ABUBAKAR,0,0,2.844950213371266e-4,0,0,0
ABUDA,0,0,1.422475106685633e-4,0,0,0
ABUEG,0,0,2.844950213371266e-4,0,0,0
ABUEL,0,0,4.267425320056899e-4,0,0,0
ABUEVA,0,0,4.267425320056899e-4,0,0,0
ABUNDO,0,0,2.844950213371266e-4,0,0,0
ABURATANI,0,0,0,1.2450974288738094e-5,0,0
ABY,0,0,1.422475106685633e-4,0,0,0
ACALA,0,0,1.422475106685633e-4,0,0,0
ACE,0,2.1151486949532554e-5,0,3.112743572184524e-5,0,0
ACEBEDO,0,0,1.422475106685633e-4,0,0,0
ACEDERA,0,0,1.422475106685633e-4,0,0,0
ACHACOSO,0,0,2.844950213371266e-4,0,0,0
ACHANTA,8.48842391189016e-5,0,0,0,0,0
ACHAR,2.12210597797254e-5,0,0,0,0,0
ACHAREKAR,4.24421195594508e-5,0,0,0,0,0
ACHARY,4.24421195594508e-5,0,0,0,0,0
ACHARYA,0.001803790081276659,0,0,0,0,0
ACHI,0,0,0,6.225487144369047e-6,0,0
ACHIHA,0,0,0,1.867646143310714e-5,0,0
ACHILLES,0,0,1.422475106685633e-4,0,0,0
ACHONG,0,2.1151486949532554e-5,0,0,0,0
ACHREKAR,4.24421195594508e-5,0,0,0,0,0
ACHUTHAN,1.485474184580778e-4,0,0,0,0,0
ACLAN,0,0,1.422475106685633e-4,0,0,0
ACOL,0,0,1.422475106685633e-4,0,0,0
ACOSTA,0,2.1151486949532554e-5,5.689900426742532e-4,0,0,0
ACRI,0,0,0,6.225487144369047e-6,0,0
ACTIVE,0,0,0,0,2.9864118261908317e-5,0
ACUNA,0,0,5.689900426742532e-4,0,0,0
ADACHI,0,0,0,0.0013882836331942975,0,0
ADACHIHARA,0,0,0,1.867646143310714e-5,0,0
ADAIR,2.12210597797254e-5,0,0,0,0,0
ADAJANIA,6.366317933917619e-5,0,0,0,0,0
ADAKE,0,2.1151486949532554e-5,0,0,0,0
ADALA,2.12210597797254e-5,0,0,0,0,0
ADALIA,0,0,1.422475106685633e-4,0,0,0
ADAM,1.2732635867835238e-4,0,1.422475106685633e-4,0,0,0
ADAMS,0,2.1151486949532554e-5,4.267425320056899e-4,6.225487144369047e-6,0,0
ADAMSON,2.12210597797254e-5,2.1151486949532554e-5,0,0,0,0
ADAN,0,0,1.422475106685633e-4,6.225487144369047e-6,0,0
ADANI,1.2732635867835238e-4,0,0,0,0,0
ADANIYA,0,0,0,1.867646143310714e-5,0,0
ADAPA,4.24421195594508e-5,0,0,0,0,0
ADAYA,2.12210597797254e-5,0,0,0,0,0
